,IGHV1-17,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-67,IGHV1-69,IGHV1-69-2,IGHV1-8,IGHV2-10,IGHV2-26,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-20,IGHV3-21,IGHV3-22,IGHV3-23,IGHV3-30,IGHV3-30-3,IGHV3-33,IGHV3-35,IGHV3-38,IGHV3-41,IGHV3-43,IGHV3-43D,IGHV3-48,IGHV3-49,IGHV3-52,IGHV3-53,IGHV3-64,IGHV3-64D,IGHV3-66,IGHV3-69-1,IGHV3-7,IGHV3-71,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3-9,IGHV4-28,IGHV4-30-2,IGHV4-30-4,IGHV4-31,IGHV4-34,IGHV4-38-2,IGHV4-39,IGHV4-4,IGHV4-55,IGHV4-59,IGHV4-61,IGHV4-80,IGHV4/OR15-8,IGHV5-10-1,IGHV5-51,IGHV6-1,IGHV7-4-1,IGHV7-81
IGHV6-1,0.49691591190797957,0.46875,0.4862734816286729,0.45607550088619203,0.49080782417623736,0.4660237066035941,0.5166325629440385,0.46388888888888896,0.48888888888888893,0.5087735276259866,0.4500910746812386,0.49731732631117254,0.5357012750455373,0.5547358834244079,0.583413565790615,0.5429630269170951,0.43333333333333335,0.4277777777777778,0.46560846560846564,0.4388888888888889,0.44192708333333336,0.45591985428051,0.444489247311828,0.4658730158730159,0.4611111111111112,0.45694444444444454,0.44117144808743175,0.4444444444444445,0.45591985428051,0.4277777777777778,0.43611111111111117,0.4482539682539683,0.42663139329806005,0.4529143897996357,0.45089590272172586,0.43907103825136606,0.48148148148148145,0.43611111111111117,0.4476190476190476,0.44508196721311477,0.45591985428051,0.41944444444444445,0.43611111111111117,0.42537568306010926,0.44055555555555553,0.58131402158372,0.5722222222222222,0.5722222222222221,0.5847222222222221,0.6096603515958355,0.5569438731874834,0.5921545201115094,0.6047943148507224,0.5952508960573476,0.5973652371973367,0.5918762572573859,0.5888888888888889,0.6172219284329278,0.5658815298507462,0.5549278127503074,0.0,0.4531746031746031,0.4531746031746032
IGHV4-4,0.5936457197607956,0.5973025489807381,0.6109420601094703,0.561875069457585,0.6035075705013262,0.5802639838768296,0.6081157660392633,0.5706627680311893,0.5486177915739666,0.627147094562101,0.5910694816136385,0.5918068082950628,0.5730994152046783,0.6242017879948913,0.627188781340324,0.5904032110928664,0.49447693307342433,0.5073936883537906,0.48895285087719287,0.4996751137102014,0.5176683752204585,0.4707602339181286,0.5080149188708156,0.5071408680431237,0.5068226120857701,0.49805068226120863,0.4658869395711501,0.5033625730994152,0.4707602339181286,0.47499495866102026,0.47660818713450287,0.4968258076886204,0.4998630584880177,0.4969108269732712,0.4931533040153163,0.5011208576998052,0.5068226120857701,0.49166666666666664,0.5055281432748538,0.4936986446762249,0.4707602339181286,0.5035423808563554,0.49805068226120863,0.47551169590643266,0.47816021535319775,0.9512670565302143,0.9571150097465887,0.9483430799220272,0.9356725146198832,0.9426034221355858,0.918345245830626,0.9209443361490144,0.0,0.9590643274853802,0.9345029239766081,0.9479253689780004,0.9337231968810915,0.95906432748538,0.5424562201008724,0.5460607608020384,0.5930966044486228,0.587979482604817,0.5802639838768296
IGHV1-17,0.0,0.7302631578947367,0.7797270955165692,0.7440191387559808,0.7751196172248804,0.7807017543859649,0.665204678362573,0.7171052631578947,0.6578947368421053,0.7212475633528266,0.7280701754385965,0.7660818713450293,0.4814814814814815,0.48684210526315785,0.4620198124621899,0.4505228588713162,0.5073073781277664,0.5425287356321838,0.5484970828591057,0.5087719298245615,0.5551530748861979,0.5210526315789474,0.5463551119177253,0.5168568193023542,0.5236842105263158,0.5153137079988106,0.530248033877798,0.5405550514216576,0.5210526315789474,0.518421052631579,0.5087719298245614,0.5351274198427103,0.5164606431332568,0.5175438596491229,0.5259307813814581,0.5104651998849583,0.5415910465819721,0.5190789473684211,0.5412129461584996,0.5328435103331187,0.5210526315789474,0.521551724137931,0.5,0.5121737168463651,0.5433015728977617,0.6045197740112994,0.5932203389830508,0.568539994052929,0.5889830508474576,0.5988171936432418,0.6054613935969868,0.5839032609773018,0.5936457197607956,0.597457627118644,0.5606898602438298,0.5892697846310692,0.5932203389830508,0.614406779661017,0.5019067796610169,0.4935758923566209,0.48302261617967596,0.7719298245614035,0.7456140350877193
IGHV3-48,0.5351274198427103,0.5482153660012099,0.5018945408849743,0.4460600560963538,0.5144640784789668,0.4614035087719298,0.557873563218391,0.544000584453536,0.5785875706214689,0.5659778925151373,0.472280701754386,0.5199774780037093,0.46877192982456134,0.43447814451382694,0.4575815163081362,0.4011998807800274,0.9157894736842106,0.9315789473684211,0.8973684210526315,0.9333333333333332,0.8850877192982457,0.8666666666666668,0.8956140350877193,0.875187969924812,0.8929824561403507,0.8807017543859649,0.9052631578947368,0.9263157894736842,0.8666666666666668,0.8947368421052632,0.9315789473684211,0.0,0.8982456140350876,0.9157894736842105,0.9061865189289009,0.9099999999999999,0.8619883040935671,0.9421052631578947,0.9298245614035088,0.9298245614035089,0.8666666666666668,0.917543859649123,0.9421052631578947,0.9184210526315788,0.8838596491228068,0.49627734306559684,0.4943917169974116,0.49020856267293444,0.5025510001685956,0.49550721398472003,0.5198787086374731,0.5081869141165205,0.5141713195746102,0.5058165481538783,0.5154299683635318,0.5065620523893113,0.5033877797943134,0.5172413793103449,0.5137331200590607,0.4920130542604319,0.43634920634920643,0.5104053236539625,0.49292196007259526
IGHV3-15,0.5430902468034493,0.5371218995765276,0.5022974549497975,0.4526097440571126,0.511847604905681,0.44956140350877194,0.5467006786154945,0.5369139443436177,0.5725409836065574,0.5422439950050735,0.47631578947368425,0.5358846227590836,0.4891107078039927,0.46888661202185794,0.4857752732240437,0.4479256465517241,0.9108187134502925,0.881578947368421,0.0,0.9254385964912281,0.8399122807017544,0.868421052631579,0.8848684210526315,0.87531328320802,0.8903508771929824,0.881578947368421,0.9298245614035088,0.9166666666666666,0.868421052631579,0.8815789473684211,0.9210526315789473,0.8973684210526315,0.8903508771929826,0.9078947368421053,0.8995844875346258,0.9023026315789473,0.8450292397660818,0.9342105263157894,0.8728070175438596,0.8852339181286549,0.868421052631579,0.8991228070175439,0.9342105263157894,0.9046052631578947,0.8710526315789473,0.4584029518240044,0.462719298245614,0.462719298245614,0.46887776080827065,0.46258442242259545,0.5139190662588372,0.47241294787895655,0.47932259243538955,0.4682017543859649,0.4836252741228071,0.47214912280701743,0.4710115131578947,0.4692982456140351,0.47844827586206895,0.4657784981783171,0.46560846560846564,0.5184210526315789,0.48011191772534784
IGHV3-69-1,0.5412129461584997,0.5492664851784634,0.5119546951670364,0.44979441812472665,0.5155626134301271,0.4606775559588627,0.5686781609195403,0.5625,0.55,0.5724983375256599,0.4833333333333334,0.542383199361746,0.4649122807017544,0.4627732240437159,0.4815241228070175,0.4198950766747377,0.8859649122807016,0.9298245614035088,0.8728070175438596,0.9035087719298245,0.9473684210526316,0.8333333333333333,0.8508771929824561,0.844611528822055,0.8596491228070176,0.8508771929824561,0.8859649122807017,0.8859649122807017,0.8333333333333333,0.8596491228070176,0.894736842105263,0.9298245614035088,0.8771929824561404,0.8859649122807017,0.876731301939058,0.8809210526315789,0.8391812865497075,0.9122807017543859,0.0,0.9385964912280702,0.8333333333333333,0.894736842105263,0.9122807017543859,0.888157894736842,0.8543859649122807,0.5206331260599208,0.5204918032786885,0.5180584016393442,0.5328928773318259,0.5264368349840275,0.5445883188870047,0.5300517005841342,0.5359883817109038,0.5373092142453363,0.5419928526623228,0.5397117015262861,0.5242456896551724,0.5459299039005088,0.5149802148106275,0.49575677463868834,0.43769841269841275,0.5128554143980641,0.49546279491833034
IGHV1-18,0.730263157894737,0.0,0.8810916179337231,0.8335326953748008,0.8742025518341308,0.8793859649122806,0.7624269005847953,0.8525219298245614,0.7675438596491228,0.8121345029239766,0.8333333333333333,0.8852339181286549,0.518337870538415,0.4780701754385964,0.4706735859044162,0.45645363408521306,0.572897761645493,0.5894396551724138,0.5727641127585181,0.5790481952006452,0.5748922413793103,0.5194721718088324,0.6053847588360146,0.570299671592775,0.576470810647308,0.5926724137931034,0.5570572764465225,0.5746748336358136,0.5194721718088324,0.6044467173193064,0.5924167153711279,0.577775257108288,0.5761596788581623,0.5719223907225691,0.5483490941509854,0.5461576939097319,0.5707677959265981,0.5660352389594676,0.5705724440411373,0.5919048912950602,0.5194721718088324,0.5570364488808227,0.591594827586207,0.5724298623714459,0.5903557924984877,0.5843121221131926,0.5723684210526316,0.5723684210526316,0.5732140202200415,0.5926230542425288,0.5933772755806656,0.588115769650114,0.5984746602935028,0.575657894736842,0.5993736990782039,0.5884520623592879,0.5981266726137378,0.602345376152245,0.49499504810413125,0.4762761194950197,0.46875,0.9144736842105263,0.9144736842105263
IGHV3-11,0.5073073781277664,0.5358187134502924,0.48040713511813815,0.43115364167995746,0.49180906812485764,0.4444444444444444,0.5295338441890166,0.5402777777777777,0.5499999999999999,0.5345781220913041,0.4502923976608188,0.5000446842771465,0.4795321637426901,0.45564663023679414,0.45300186942766746,0.3942898143583,0.0,0.9035087719298245,0.9108187134502925,0.9473684210526316,0.8464912280701755,0.8596491228070176,0.8903508771929824,0.8989139515455304,0.915204678362573,0.9108187134502922,0.912280701754386,0.9298245614035087,0.8596491228070176,0.9064327485380116,0.9444444444444445,0.9157894736842105,0.9181286549707602,0.9298245614035089,0.9193598030163127,0.9236842105263158,0.8791423001949318,0.956140350877193,0.8859649122807017,0.9015594541910331,0.8596491228070176,0.9210526315789473,0.956140350877193,0.9254385964912281,0.8619883040935672,0.4678362573099415,0.4619883040935672,0.4619883040935673,0.47309941520467835,0.4749837556855101,0.48620006807141297,0.4808317089018843,0.4944769330734243,0.4795321637426901,0.5045119983867715,0.48955722639933164,0.4795321637426901,0.49707602339181295,0.5012603347449082,0.46950710108604854,0.43333333333333335,0.5,0.47953216374269
IGHV5-51,0.49068752389448195,0.4762761194950197,0.5012531328320803,0.5082219655722378,0.4675403241646435,0.4837092731829574,0.5710180623973727,0.41416040100250623,0.47783251231527096,0.5058815621429051,0.5233558033013569,0.502304612104975,0.5966018201552977,0.5403885993982065,0.5878340989172781,0.5731706268656873,0.513136288998358,0.4901477832512315,0.47888391747647213,0.5016420361247947,0.5105974788784711,0.5049261083743842,0.5282887687512176,0.49357383606800254,0.5073891625615763,0.48998574021260044,0.47900420249923464,0.5266761292477249,0.5049261083743842,0.49773859937199316,0.5073891625615764,0.523695416214411,0.4695071010860484,0.5246305418719212,0.487659711893163,0.49725430025034323,0.4937379978291726,0.5061576354679803,0.5315510642710357,0.4886569872958257,0.5049261083743842,0.5,0.5160098522167488,0.4964836660617059,0.5020309394175093,0.5740384123333163,0.5686221171223339,0.570371245347746,0.5839678309893234,0.5853660305445688,0.562166373979728,0.5868319733197229,0.5738305717180548,0.568622117122334,0.5682800748926482,0.5864016080324697,0.5824496952492277,0.5840313557975366,0.9598997493734337,0.0,0.5681650789829653,0.469298245614035,0.4887218045112781
IGHV3-13,0.5425287356321838,0.5526315789473684,0.49301219149568837,0.43628389154704944,0.4995458600275727,0.47368421052631576,0.5814176245210727,0.5013157894736842,0.5552631578947369,0.5459994174452734,0.4385964912280702,0.520165355918532,0.4473684210526315,0.44999999999999996,0.4436295657175726,0.3825814536340852,0.9035087719298246,0.0,0.881578947368421,0.9239766081871346,0.8903508771929824,0.8508771929824561,0.868421052631579,0.8609022556390977,0.8771929824561403,0.8771929824561404,0.8859649122807017,0.9035087719298246,0.8508771929824561,0.8859649122807017,0.912280701754386,0.9315789473684211,0.8859649122807017,0.9035087719298245,0.8928901200369344,0.8980263157894737,0.8567251461988303,0.9298245614035088,0.9298245614035087,0.9444444444444443,0.8508771929824561,0.912280701754386,0.9298245614035088,0.9057017543859649,0.868421052631579,0.48850574712643685,0.4827586206896552,0.4827586206896552,0.5079847371396269,0.5052760504993405,0.5320380707870108,0.5111173921236103,0.5073936883537908,0.5,0.506223285035653,0.49876847290640397,0.5,0.5172413793103449,0.4780701754385965,0.4461152882205513,0.42777777777777776,0.5263157894736842,0.5087719298245614
