,IGKV1-12,IGKV1-13,IGKV1-16,IGKV1-17,IGKV1-27,IGKV1-33,IGKV1-37,IGKV1-39,IGKV1-5,IGKV1-6,IGKV1-8,IGKV1-9,IGKV1-NL1,IGKV1/OR2-108,IGKV1D-12,IGKV1D-13,IGKV1D-16,IGKV1D-17,IGKV1D-27,IGKV1D-43,IGKV1D-8,IGKV2-24,IGKV2-26,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2-40,IGKV2D-24,IGKV2D-26,IGKV2D-29,IGKV2D-30,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3-7,IGKV3/OR2-268,IGKV3D-11,IGKV3D-15,IGKV3D-20,IGKV4-1,IGKV5-2,IGKV6-21,IGKV6D-21,IGKV6D-41
IGKV4-1,0.5555555555555555,0.5353535353535354,0.5505050505050505,0.5752525252525252,0.5340909090909091,0.5909090909090909,0.5454545454545454,0.5454545454545454,0.5848484848484848,0.5598484848484848,0.5666666666666667,0.5757575757575758,0.553030303030303,0.5606060606060606,0.5492424242424242,0.5643939393939394,0.5227272727272727,0.5757575757575758,0.5353535353535354,0.5671641791044776,0.5676767676767677,0.55,0.55,0.5833333333333334,0.55,0.55,0.5523809523809523,0.55,0.55,0.5416666666666667,0.55,0.5788461538461538,0.5778688524590163,0.5694619588062211,0.5737704918032787,0.5786184671430572,0.5772068095838587,0.5655737704918032,0.5544871794871795,0.0,0.6,0.55,0.5416666666666667,0.5333333333333333
IGKV3/OR2-268,0.6543879926964505,0.6409451061192356,0.63087759853929,0.6751806870598159,0.68921176943565,0.6510126136991808,0.6460578125415702,0.6661138750690989,0.6644404241419168,0.679930040145357,0.699271402550091,0.6661138750690989,0.6617323734861047,0.6661138750690989,0.6493542389064777,0.6668390330183821,0.6241708126036485,0.6510126136991808,0.6857044742616883,0.6208100909593447,0.6738161321229588,0.6052216150576807,0.5959016393442623,0.588615664845173,0.588615664845173,0.6218275652701881,0.5912438199323448,0.6052216150576807,0.5959016393442623,0.5803126897389193,0.6218275652701882,0.9497457498482089,0.9599650880388586,0.9625379477838493,0.9687310261080753,0.0,0.9579032584497065,0.9551305403764422,0.9460686095931998,0.5786184671430572,0.6402550091074681,0.571903460837887,0.5820431086824529,0.6070127504553735
IGKV1-12,0.0,0.9292929292929293,0.9208754208754208,0.8939393939393939,0.919191919191919,0.9242424242424242,0.9318181818181818,0.9242424242424242,0.9333333333333333,0.8977272727272728,0.8636363636363636,0.9545454545454546,0.9488636363636364,0.9242424242424242,0.9823232323232322,0.8939393939393939,0.9444444444444443,0.9696969696969697,0.9208754208754208,0.9393939393939394,0.9191919191919192,0.7070707070707071,0.7070707070707071,0.7222222222222223,0.7146464646464646,0.7525252525252526,0.7207792207792207,0.7070707070707071,0.7070707070707071,0.7070707070707071,0.7525252525252526,0.6654040404040403,0.648989898989899,0.6616161616161615,0.6565656565656566,0.6543879926964505,0.6683501683501682,0.6470959595959597,0.6565656565656566,0.5555555555555555,0.6019900497512437,0.6087743102668477,0.6140132669983416,0.6766169154228856
IGKV1-13,0.9292929292929293,0.0,0.9040404040404041,0.8838383838383839,0.9141414141414139,0.9444444444444445,0.9368686868686869,0.9444444444444445,0.9535353535353537,0.9179292929292928,0.8838383838383838,0.9747474747474748,0.9532828282828284,0.9444444444444445,0.919191919191919,0.9444444444444443,0.9217171717171716,0.9595959595959597,0.9242424242424243,0.9292929292929294,0.9393939393939394,0.691919191919192,0.691919191919192,0.7070707070707071,0.6994949494949495,0.7373737373737373,0.704906204906205,0.691919191919192,0.691919191919192,0.691919191919192,0.7373737373737373,0.649621212121212,0.6376262626262627,0.6464646464646464,0.6414141414141414,0.6409451061192355,0.6489898989898991,0.6313131313131314,0.6401515151515151,0.5353535353535354,0.572139303482587,0.6188376300316599,0.6240388964269561,0.6865671641791046
IGKV1-16,0.920875420875421,0.9040404040404041,0.0,0.8686868686868686,0.8686868686868686,0.9090909090909091,0.9065656565656565,0.8989898989898989,0.908080808080808,0.8724747474747475,0.8383838383838383,0.9292929292929294,0.9065656565656566,0.8989898989898989,0.912878787878788,0.8686868686868686,0.9545454545454545,0.9444444444444445,0.8787878787878788,0.914141414141414,0.8939393939393939,0.6767676767676768,0.6464646464646465,0.6717171717171717,0.654040404040404,0.6919191919191919,0.6608946608946609,0.6767676767676768,0.6464646464646465,0.6464646464646464,0.6919191919191919,0.639520202020202,0.6275252525252525,0.6313131313131313,0.6313131313131314,0.63087759853929,0.6372053872053872,0.6180555555555557,0.6161616161616161,0.5505050505050505,0.5505050505050505,0.5764260249554367,0.5720439691027926,0.6318407960199005
IGKV1-17,0.893939393939394,0.883838383838384,0.8686868686868686,0.0,0.8484848484848485,0.8787878787878789,0.8863636363636364,0.8787878787878789,0.8959595959595961,0.9138888888888889,0.9373737373737373,0.9090909090909092,0.8863636363636366,0.888888888888889,0.8825757575757575,0.9075757575757577,0.8926767676767677,0.9242424242424243,0.8585858585858586,0.893939393939394,0.9134680134680137,0.7434343434343434,0.7434343434343434,0.7595959595959596,0.7515151515151515,0.7919191919191918,0.7580808080808081,0.7434343434343434,0.7434343434343434,0.7434343434343434,0.791919191919192,0.6863636363636364,0.6686868686868688,0.6781144781144781,0.6727272727272728,0.6751806870598159,0.6845117845117845,0.6606060606060606,0.665909090909091,0.5752525252525252,0.6206467661691543,0.6535014322327756,0.658012965475652,0.7261234809558763
IGKV2D-30,0.7525252525252526,0.7373737373737373,0.6919191919191919,0.791919191919192,0.7121212121212122,0.7424242424242424,0.7651515151515151,0.7121212121212122,0.7303030303030302,0.7712121212121212,0.8166666666666667,0.7424242424242424,0.7424242424242424,0.7272727272727273,0.75,0.7795454545454545,0.7196969696969697,0.7424242424242424,0.7121212121212123,0.7121212121212122,0.7621212121212121,0.9416666666666667,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9916666666666667,0.9547619047619048,0.95,0.9333333333333333,0.925,0.0,0.665983606557377,0.6639344262295082,0.6536429872495447,0.6721311475409836,0.660673365062577,0.6601548269581056,0.6680327868852458,0.6346994535519126,0.55,0.5833333333333334,0.6625,0.6666666666666666,0.6666666666666666
IGKV1/OR2-108,0.9242424242424242,0.9444444444444445,0.8989898989898989,0.888888888888889,0.9090909090909091,0.9393939393939394,0.9318181818181819,0.9696969696969697,0.9484848484848485,0.9204545454545455,0.8939393939393939,0.9696969696969697,0.946969696969697,0.0,0.9128787878787878,0.9166666666666667,0.9166666666666666,0.9545454545454546,0.9292929292929294,0.9242424242424242,0.9393939393939394,0.6818181818181818,0.6818181818181818,0.696969696969697,0.6893939393939394,0.7272727272727273,0.6948051948051949,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7272727272727273,0.6742424242424242,0.6628787878787878,0.6717171717171717,0.6666666666666666,0.6661138750690989,0.6742424242424242,0.6534090909090908,0.6628787878787878,0.5606060606060606,0.582089552238806,0.588647670737223,0.5939620081411126,0.6567164179104478
IGKV1-37,0.931818181818182,0.9368686868686869,0.9065656565656565,0.8863636363636364,0.9015151515151515,0.9318181818181819,0.0,0.9318181818181819,0.940909090909091,0.9053030303030303,0.8712121212121212,0.9621212121212122,0.9393939393939394,0.9318181818181819,0.9204545454545454,0.9015151515151516,0.9242424242424243,0.9621212121212122,0.9116161616161614,0.9318181818181819,0.9267676767676768,0.7196969696969697,0.7196969696969697,0.7348484848484849,0.7121212121212122,0.7651515151515151,0.7305194805194805,0.7196969696969697,0.7196969696969697,0.7045454545454546,0.7651515151515151,0.6363636363636364,0.625,0.6372682044323835,0.6287878787878788,0.6283607216443037,0.6380785466606362,0.6174242424242424,0.6327736318407959,0.5454545454545454,0.5895522388059702,0.6056083220262325,0.6127317955676165,0.664179104477612
IGKV2-26,0.7299110508065733,0.691919191919192,0.6581486506859641,0.7434343434343434,0.6666666666666666,0.696969696969697,0.7196969696969697,0.6666666666666666,0.6917684305744007,0.7327744659711872,0.7666666666666667,0.696969696969697,0.696969696969697,0.6818181818181818,0.7388059701492538,0.7318181818181819,0.6827792853912257,0.696969696969697,0.6666666666666666,0.6666666666666666,0.7151515151515152,0.9083333333333333,0.0,0.9333333333333333,0.95,0.925,0.9404761904761906,0.9166666666666666,1.0,0.9416666666666667,0.9333333333333333,0.6331967213114755,0.6311475409836066,0.6206739526411659,0.639344262295082,0.6351724543157647,0.6245446265938069,0.6352459016393444,0.6015027322404372,0.55,0.6166666666666667,0.6291666666666667,0.6333333333333333,0.6166666666666667
