,index,geneO,geneH,vGeneIden,utrIden
0,973,IGHV1-25*01,IGHV1-17*01,0.5817694369973191,0.2663313810372634
1,974,IGHV1-25*01,IGHV1-17*02,0.5876010781671159,0.31089855133972777
2,975,IGHV1-25*01,IGHV1-18*01,0.6164383561643836,0.38822433013609475
3,977,IGHV1-25*01,IGHV1-18*03,0.6164383561643836,0.3734006734006734
4,978,IGHV1-25*01,IGHV1-18*04,0.6164383561643836,0.3726430976430976
5,980,IGHV1-25*01,IGHV1-2*02,0.6208791208791209,0.3671090294041114
6,981,IGHV1-25*01,IGHV1-2*03,0.6208791208791209,0.3715846994535519
7,982,IGHV1-25*01,IGHV1-2*04,0.6164383561643836,0.34661288923584005
8,983,IGHV1-25*01,IGHV1-2*05,0.6164383561643836,0.3715846994535519
9,984,IGHV1-25*01,IGHV1-2*06,0.6164383561643836,0.36484223514895114
10,986,IGHV1-25*01,IGHV1-24*01,0.6253443526170799,0.35516499968301135
11,987,IGHV1-25*01,IGHV1-24*02,0.6236263736263736,0.36252354048964214
12,988,IGHV1-25*01,IGHV1-3*01,0.6434540389972145,0.3831326606262653
13,989,IGHV1-25*01,IGHV1-3*02,0.6434540389972145,0.4201326995444643
14,990,IGHV1-25*01,IGHV1-3*03,0.6434540389972145,0.4201326995444643
15,991,IGHV1-25*01,IGHV1-3*04,0.6406685236768802,0.39681973464351605
16,992,IGHV1-25*01,IGHV1-3*05,0.6434540389972145,0.40451079196005657
17,993,IGHV1-25*01,IGHV1-3*06,0.6480446927374302,0.4393939393939394
18,995,IGHV1-25*01,IGHV1-45*02,0.6032608695652174,0.369466180658945
19,996,IGHV1-25*01,IGHV1-45*03,0.5989159891598916,0.3539493293591654
20,997,IGHV1-25*01,IGHV1-46*01,0.6388888888888888,0.36317450802744616
21,998,IGHV1-25*01,IGHV1-46*02,0.6388888888888888,0.3783164873196503
22,999,IGHV1-25*01,IGHV1-46*03,0.6388888888888888,0.3783164873196503
23,1001,IGHV1-25*01,IGHV1-58*01,0.6076294277929155,0.3836049757730388
24,1002,IGHV1-25*01,IGHV1-58*02,0.6120218579234973,0.3773456113292511
25,1004,IGHV1-25*01,IGHV1-67*01,0.6054054054054054,0.39587142774998557
26,1008,IGHV1-25*01,IGHV1-69*01,0.6298342541436464,0.3387707744275879
27,1009,IGHV1-25*01,IGHV1-69*02,0.6243093922651933,0.3620689655172414
28,1011,IGHV1-25*01,IGHV1-69*04,0.6298342541436464,0.3652950838312257
29,1012,IGHV1-25*01,IGHV1-69*05,0.628808864265928,0.3620689655172414
30,1013,IGHV1-25*01,IGHV1-69*06,0.6298342541436464,0.3483628001927946
31,1017,IGHV1-25*01,IGHV1-69*10,0.6298342541436464,0.3620689655172414
32,1018,IGHV1-25*01,IGHV1-69*11,0.6298342541436464,0.35344827586206895
33,1019,IGHV1-25*01,IGHV1-69*12,0.6298342541436464,0.3537617554858934
34,1020,IGHV1-25*01,IGHV1-69*13,0.6343490304709142,0.339080459770115
35,1021,IGHV1-25*01,IGHV1-69*14,0.6298342541436464,0.3620689655172414
36,1022,IGHV1-25*01,IGHV1-69*15,0.6343490304709142,0.3620689655172414
37,1028,IGHV1-25*01,IGHV1-69*21,0.6253443526170799,0.3620689655172414
38,1029,IGHV1-25*01,IGHV1-69*22,0.6298342541436464,0.3448275862068966
39,1030,IGHV1-25*01,IGHV1-69*23,0.6253443526170799,0.3590482925838927
40,1032,IGHV1-25*01,IGHV1-69-2*01,0.6208791208791209,0.34795321637426896
41,1034,IGHV1-25*01,IGHV1-69-2*03,0.6253443526170799,0.36062378167641324
42,1035,IGHV1-25*01,IGHV1-8*01,0.6343490304709142,0.3600828531190355
43,1036,IGHV1-25*01,IGHV1-8*02,0.6388888888888888,0.3660341844424764
44,1037,IGHV1-25*01,IGHV1-8*03,0.6434540389972145,0.3696969696969697
45,1061,IGHV1-25*01,IGHV2-10*01,0.5178571428571429,0.3807891435200072
46,1062,IGHV1-25*01,IGHV2-26*01,0.5178571428571429,0.39195845004668534
47,1063,IGHV1-25*01,IGHV2-26*02,0.5178571428571429,0.4542483660130719
48,1065,IGHV1-25*01,IGHV2-26*04,0.5178571428571429,0.4542483660130719
49,1066,IGHV1-25*01,IGHV2-5*01,0.5217391304347826,0.43383131030189853
50,1067,IGHV1-25*01,IGHV2-5*02,0.5217391304347826,0.4271802054154995
51,1070,IGHV1-25*01,IGHV2-5*05,0.5217391304347826,0.42777777777777776
52,1074,IGHV1-25*01,IGHV2-70*01,0.5178571428571429,0.41311700962436254
53,1077,IGHV1-25*01,IGHV2-70*04,0.5178571428571429,0.480392156862745
54,1086,IGHV1-25*01,IGHV2-70*13,0.5217391304347826,0.45899470899470907
55,1087,IGHV1-25*01,IGHV2-70*14,0.5217391304347826,0.480392156862745
56,1088,IGHV1-25*01,IGHV2-70*15,0.5178571428571429,0.3771397447868037
57,1095,IGHV1-25*01,IGHV3-11*01,0.5649867374005305,0.33727925326509195
58,1098,IGHV1-25*01,IGHV3-11*04,0.5649867374005305,0.30231481481481476
59,1099,IGHV1-25*01,IGHV3-11*05,0.5608465608465608,0.30231481481481476
60,1100,IGHV1-25*01,IGHV3-11*06,0.5608465608465608,0.29531331825022766
61,1101,IGHV1-25*01,IGHV3-13*01,0.5406824146981627,0.38856014857306187
62,1103,IGHV1-25*01,IGHV3-13*03,0.5354330708661418,0.5040485829959515
63,1104,IGHV1-25*01,IGHV3-13*04,0.5447368421052632,0.31462446767324814
64,1105,IGHV1-25*01,IGHV3-13*05,0.5406824146981627,0.31462446767324814
65,1106,IGHV1-25*01,IGHV3-15*01,0.532133676092545,0.3348653295167591
66,1107,IGHV1-25*01,IGHV3-15*02,0.532133676092545,0.2833333333333333
67,1112,IGHV1-25*01,IGHV3-15*07,0.5242966751918159,0.3106485947649366
68,1114,IGHV1-25*01,IGHV3-15*09,0.5282051282051282,0.35906413085677413
69,1118,IGHV1-25*01,IGHV3-20*01,0.5445026178010471,0.35174273084272834
70,1119,IGHV1-25*01,IGHV3-20*02,0.5445026178010471,0.3867891449969763
71,1121,IGHV1-25*01,IGHV3-20*04,0.5485564304461942,0.35248441645082457
72,1122,IGHV1-25*01,IGHV3-21*01,0.5485564304461942,0.3425136046708032
73,1123,IGHV1-25*01,IGHV3-21*02,0.5485564304461942,0.3661629069677962
74,1127,IGHV1-25*01,IGHV3-21*06,0.5445026178010471,0.40944067252232313
75,1128,IGHV1-25*01,IGHV3-22*01,0.5360824742268041,0.4479385045422781
76,1129,IGHV1-25*01,IGHV3-22*02,0.5400516795865633,0.3226959529198043
77,1130,IGHV1-25*01,IGHV3-23*01,0.5649867374005305,0.3232870059307878
78,1132,IGHV1-25*01,IGHV3-23*03,0.5608465608465608,0.2659705232303892
79,1133,IGHV1-25*01,IGHV3-23*04,0.5649867374005305,0.3086766964556683
80,1134,IGHV1-25*01,IGHV3-23*05,0.5638297872340425,0.2869198312236287
81,1135,IGHV1-25*01,IGHV3-23*06,0.5646437994722955,0.30839822353222096
82,1136,IGHV1-25*01,IGHV3-23*07,0.5611702127659575,0.2869198312236287
83,1143,IGHV1-25*01,IGHV3-30*01,0.5649867374005305,0.31323835095986996
84,1144,IGHV1-25*01,IGHV3-30*02,0.5649867374005305,0.362983915723897
85,1145,IGHV1-25*01,IGHV3-30*03,0.5608465608465608,0.33488049422218247
86,1146,IGHV1-25*01,IGHV3-30*04,0.5608465608465608,0.33299624577780235
87,1148,IGHV1-25*01,IGHV3-30*06,0.5649867374005305,0.31856540084388185
88,1160,IGHV1-25*01,IGHV3-30*18,0.5608465608465608,0.3403946811839336
89,1162,IGHV1-25*01,IGHV3-30*20,0.5649867374005305,0.3254854579056523
90,1166,IGHV1-25*01,IGHV3-30-3*01,0.5608465608465608,0.3528492353175201
91,1167,IGHV1-25*01,IGHV3-30-3*02,0.5608465608465608,0.4029191979692535
92,1171,IGHV1-25*01,IGHV3-33*01,0.5567282321899736,0.35602900911396806
93,1175,IGHV1-25*01,IGHV3-33*05,0.5567282321899736,0.31012658227848106
94,1176,IGHV1-25*01,IGHV3-33*06,0.5567282321899736,0.3398894564117748
95,1178,IGHV1-25*01,IGHV3-33*08,0.5567282321899736,0.30342971732045687
96,1179,IGHV1-25*01,IGHV3-33*09,0.5593667546174143,0.3274260891599332
97,1181,IGHV1-25*01,IGHV3-35*01,0.5526315789473685,0.2882882882882883
98,1188,IGHV1-25*01,IGHV3-38*02,0.5461741424802111,0.3093241410488246
99,1191,IGHV1-25*01,IGHV3-41*01,0.5406824146981627,0.40805152979066023
100,1198,IGHV1-25*01,IGHV3-43*01,0.5538057742782152,0.3183947136374288
101,1199,IGHV1-25*01,IGHV3-43*02,0.5497382198952879,0.29785182287138473
102,1200,IGHV1-25*01,IGHV3-43D*03,0.5456919060052219,0.3482741368337717
103,1201,IGHV1-25*01,IGHV3-43D*04,0.5456919060052219,0.3426403801498557
104,1205,IGHV1-25*01,IGHV3-48*01,0.5567282321899736,0.38012249891001526
105,1206,IGHV1-25*01,IGHV3-48*02,0.5608465608465608,0.3469465427940028
106,1207,IGHV1-25*01,IGHV3-48*03,0.5567282321899736,0.3688915616202551
107,1208,IGHV1-25*01,IGHV3-48*04,0.5567282321899736,0.3424680304253308
108,1211,IGHV1-25*01,IGHV3-49*03,0.5440414507772021,0.3042435149931421
109,1212,IGHV1-25*01,IGHV3-49*04,0.5400516795865633,0.3571852661268984
110,1213,IGHV1-25*01,IGHV3-49*05,0.548051948051948,0.30416666666666664
111,1215,IGHV1-25*01,IGHV3-52*01,0.5404699738903395,0.40243902439024387
112,1218,IGHV1-25*01,IGHV3-53*01,0.5406824146981627,0.3564786480139982
113,1219,IGHV1-25*01,IGHV3-53*02,0.5366492146596858,0.3428571428571428
114,1221,IGHV1-25*01,IGHV3-53*04,0.5488126649076517,0.3428571428571428
115,1223,IGHV1-25*01,IGHV3-53*06,0.5447368421052632,0.3428571428571428
116,1242,IGHV1-25*01,IGHV3-64*01,0.5649867374005305,0.3052649128437935
117,1243,IGHV1-25*01,IGHV3-64*02,0.5608465608465608,0.27095588235294116
118,1247,IGHV1-25*01,IGHV3-64*07,0.5649867374005305,0.36165675489712
119,1248,IGHV1-25*01,IGHV3-64D*06,0.5567282321899736,0.3190522488430625
120,1249,IGHV1-25*01,IGHV3-64D*08,0.5567282321899736,0.23704096045197742
121,1250,IGHV1-25*01,IGHV3-64D*09,0.5608465608465608,0.29270695728780805
122,1254,IGHV1-25*01,IGHV3-66*01,0.5488126649076517,0.3248490444068973
123,1255,IGHV1-25*01,IGHV3-66*02,0.5517241379310345,0.32584890496282903
124,1256,IGHV1-25*01,IGHV3-66*03,0.5447368421052632,0.32448764315852924
125,1257,IGHV1-25*01,IGHV3-66*04,0.5447368421052632,0.3526306210664573
126,1258,IGHV1-25*01,IGHV3-69-1*01,0.5570291777188329,0.3662846704643054
127,1259,IGHV1-25*01,IGHV3-69-1*02,0.5570291777188329,0.3164556962025316
128,1260,IGHV1-25*01,IGHV3-7*01,0.5404699738903395,0.3410416490139695
129,1261,IGHV1-25*01,IGHV3-7*02,0.5392670157068062,0.3043704745533156
130,1262,IGHV1-25*01,IGHV3-7*03,0.5404699738903395,0.34646416274516917
131,1263,IGHV1-25*01,IGHV3-7*04,0.5404699738903395,0.3121814893966793
132,1264,IGHV1-25*01,IGHV3-7*05,0.5404699738903395,0.30606347483984614
133,1265,IGHV1-25*01,IGHV3-71*01,0.5400516795865633,0.29583333333333334
134,1269,IGHV1-25*01,IGHV3-72*01,0.5242966751918159,0.3180576945585529
135,1271,IGHV1-25*01,IGHV3-72*03,0.5242966751918159,0.38343102718102723
136,1272,IGHV1-25*01,IGHV3-73*01,0.5282051282051282,0.3171670978477173
137,1273,IGHV1-25*01,IGHV3-73*02,0.5242966751918159,0.33161277821629187
138,1274,IGHV1-25*01,IGHV3-73*03,0.5282051282051282,0.29825102880658433
139,1275,IGHV1-25*01,IGHV3-74*01,0.5364583333333334,0.3367351010216753
140,1276,IGHV1-25*01,IGHV3-74*02,0.5392670157068062,0.3393135333433841
141,1277,IGHV1-25*01,IGHV3-74*03,0.5364583333333334,0.3359996191619326
142,1283,IGHV1-25*01,IGHV3-9*01,0.5538057742782152,0.3514570275372931
143,1284,IGHV1-25*01,IGHV3-9*02,0.5538057742782152,0.35363981734889555
144,1285,IGHV1-25*01,IGHV3-9*03,0.5538057742782152,0.3067771084337349
145,1310,IGHV1-25*01,IGHV4-28*01,0.5324675324675324,0.3997272939728183
146,1311,IGHV1-25*01,IGHV4-28*02,0.5324675324675324,0.4233426704014939
147,1312,IGHV1-25*01,IGHV4-28*03,0.5364583333333334,0.41515852717898755
148,1314,IGHV1-25*01,IGHV4-28*05,0.5324675324675324,0.42385032090914443
149,1317,IGHV1-25*01,IGHV4-28*08,0.5284974093264249,0.4233426704014939
150,1318,IGHV1-25*01,IGHV4-30-2*01,0.5166240409207161,0.4136877774132677
151,1319,IGHV1-25*01,IGHV4-30-2*02,0.5193798449612403,0.407469654528478
152,1320,IGHV1-25*01,IGHV4-30-2*03,0.5205128205128206,0.4017563782269664
153,1323,IGHV1-25*01,IGHV4-30-2*06,0.5166240409207161,0.4161015006603243
154,1324,IGHV1-25*01,IGHV4-30-4*01,0.5244215938303342,0.3422675827087592
155,1328,IGHV1-25*01,IGHV4-30-4*05,0.5244215938303342,0.3960431019254549
156,1330,IGHV1-25*01,IGHV4-30-4*07,0.5205128205128206,0.3960431019254549
157,1331,IGHV1-25*01,IGHV4-30-4*08,0.5218508997429306,0.3921153159004821
158,1332,IGHV1-25*01,IGHV4-31*01,0.5244215938303342,0.4017563782269664
