,index,geneO,geneH,vGeneIden,leaderIden
0,973,IGHV1-25*01,IGHV1-17*01,0.5817694369973191,0.6754385964912281
1,974,IGHV1-25*01,IGHV1-17*02,0.5876010781671159,0.6008771929824561
2,975,IGHV1-25*01,IGHV1-18*01,0.6164383561643836,0.7076023391812866
3,977,IGHV1-25*01,IGHV1-18*03,0.6164383561643836,0.7192982456140351
4,978,IGHV1-25*01,IGHV1-18*04,0.6164383561643836,0.6798245614035088
5,980,IGHV1-25*01,IGHV1-2*02,0.6208791208791209,0.6944444444444445
6,981,IGHV1-25*01,IGHV1-2*03,0.6208791208791209,0.6929824561403508
7,982,IGHV1-25*01,IGHV1-2*04,0.6164383561643836,0.6842105263157894
8,983,IGHV1-25*01,IGHV1-2*05,0.6164383561643836,0.6929824561403508
9,984,IGHV1-25*01,IGHV1-2*06,0.6164383561643836,0.6885964912280702
10,986,IGHV1-25*01,IGHV1-24*01,0.6253443526170799,0.6435406698564594
11,987,IGHV1-25*01,IGHV1-24*02,0.6236263736263736,0.6578947368421053
12,988,IGHV1-25*01,IGHV1-3*01,0.6434540389972145,0.6829573934837093
13,989,IGHV1-25*01,IGHV1-3*02,0.6434540389972145,0.7105263157894737
14,990,IGHV1-25*01,IGHV1-3*03,0.6434540389972145,0.7105263157894737
15,991,IGHV1-25*01,IGHV1-3*04,0.6406685236768802,0.6871345029239766
16,992,IGHV1-25*01,IGHV1-3*05,0.6434540389972145,0.6929824561403508
17,993,IGHV1-25*01,IGHV1-3*06,0.6480446927374302,0.7105263157894737
18,995,IGHV1-25*01,IGHV1-45*02,0.6032608695652174,0.6929824561403508
19,996,IGHV1-25*01,IGHV1-45*03,0.5989159891598916,0.6929824561403508
20,997,IGHV1-25*01,IGHV1-46*01,0.6388888888888888,0.6812134502923977
21,998,IGHV1-25*01,IGHV1-46*02,0.6388888888888888,0.6929824561403508
22,999,IGHV1-25*01,IGHV1-46*03,0.6388888888888888,0.6929824561403508
23,1001,IGHV1-25*01,IGHV1-58*01,0.6076294277929155,0.6871345029239766
24,1002,IGHV1-25*01,IGHV1-58*02,0.6120218579234973,0.6871345029239766
25,1004,IGHV1-25*01,IGHV1-67*01,0.6054054054054054,0.6578947368421053
26,1008,IGHV1-25*01,IGHV1-69*01,0.6298342541436464,0.7149122807017543
27,1009,IGHV1-25*01,IGHV1-69*02,0.6243093922651933,0.7280701754385965
28,1011,IGHV1-25*01,IGHV1-69*04,0.6298342541436464,0.7052631578947368
29,1012,IGHV1-25*01,IGHV1-69*05,0.628808864265928,0.7280701754385965
30,1013,IGHV1-25*01,IGHV1-69*06,0.6298342541436464,0.7192982456140351
31,1017,IGHV1-25*01,IGHV1-69*10,0.6298342541436464,0.7280701754385965
32,1018,IGHV1-25*01,IGHV1-69*11,0.6298342541436464,0.7280701754385965
33,1019,IGHV1-25*01,IGHV1-69*12,0.6298342541436464,0.7280701754385965
34,1020,IGHV1-25*01,IGHV1-69*13,0.6343490304709142,0.7280701754385965
35,1021,IGHV1-25*01,IGHV1-69*14,0.6298342541436464,0.7280701754385965
36,1022,IGHV1-25*01,IGHV1-69*15,0.6343490304709142,0.7280701754385965
37,1028,IGHV1-25*01,IGHV1-69*21,0.6253443526170799,0.7280701754385965
38,1029,IGHV1-25*01,IGHV1-69*22,0.6298342541436464,0.7280701754385965
39,1030,IGHV1-25*01,IGHV1-69*23,0.6253443526170799,0.7280701754385965
40,1032,IGHV1-25*01,IGHV1-69-2*01,0.6208791208791209,0.6403508771929824
41,1034,IGHV1-25*01,IGHV1-69-2*03,0.6253443526170799,0.631578947368421
42,1035,IGHV1-25*01,IGHV1-8*01,0.6343490304709142,0.6929824561403507
43,1036,IGHV1-25*01,IGHV1-8*02,0.6388888888888888,0.7105263157894737
44,1037,IGHV1-25*01,IGHV1-8*03,0.6434540389972145,0.7105263157894737
45,1061,IGHV1-25*01,IGHV2-10*01,0.5178571428571429,0.5350877192982456
46,1062,IGHV1-25*01,IGHV2-26*01,0.5178571428571429,0.5
47,1063,IGHV1-25*01,IGHV2-26*02,0.5178571428571429,0.5087719298245614
48,1065,IGHV1-25*01,IGHV2-26*04,0.5178571428571429,0.5175438596491229
49,1066,IGHV1-25*01,IGHV2-5*01,0.5217391304347826,0.5307017543859649
50,1067,IGHV1-25*01,IGHV2-5*02,0.5217391304347826,0.5263157894736842
51,1070,IGHV1-25*01,IGHV2-5*05,0.5217391304347826,0.5350877192982456
52,1074,IGHV1-25*01,IGHV2-70*01,0.5178571428571429,0.5175438596491229
53,1077,IGHV1-25*01,IGHV2-70*04,0.5178571428571429,0.5175438596491229
54,1086,IGHV1-25*01,IGHV2-70*13,0.5217391304347826,0.52046783625731
55,1087,IGHV1-25*01,IGHV2-70*14,0.5217391304347826,0.5175438596491229
56,1088,IGHV1-25*01,IGHV2-70*15,0.5178571428571429,0.5175438596491229
57,1095,IGHV1-25*01,IGHV3-11*01,0.5649867374005305,0.560639880952381
58,1098,IGHV1-25*01,IGHV3-11*04,0.5649867374005305,0.5793650793650793
59,1099,IGHV1-25*01,IGHV3-11*05,0.5608465608465608,0.5793650793650793
60,1100,IGHV1-25*01,IGHV3-11*06,0.5608465608465608,0.5793650793650793
61,1101,IGHV1-25*01,IGHV3-13*01,0.5406824146981627,0.5948275862068966
62,1103,IGHV1-25*01,IGHV3-13*03,0.5354330708661418,0.5948275862068966
63,1104,IGHV1-25*01,IGHV3-13*04,0.5447368421052632,0.5948275862068966
64,1105,IGHV1-25*01,IGHV3-13*05,0.5406824146981627,0.5948275862068966
65,1106,IGHV1-25*01,IGHV3-15*01,0.532133676092545,0.5462781636114027
66,1107,IGHV1-25*01,IGHV3-15*02,0.532133676092545,0.5634920634920635
67,1112,IGHV1-25*01,IGHV3-15*07,0.5242966751918159,0.5634920634920635
68,1114,IGHV1-25*01,IGHV3-15*09,0.5282051282051282,0.5634920634920635
