,index,geneO,geneH,vGeneIden,utrIden
0,13583,IGHV1S1*01,IGHV1-17*01,0.7259475218658892,0.5713245583481518
1,13584,IGHV1S1*01,IGHV1-17*02,0.7331378299120235,0.5006181750963965
2,13585,IGHV1S1*01,IGHV1-18*01,0.7939393939393941,0.599537037037037
3,13587,IGHV1S1*01,IGHV1-18*03,0.7885196374622356,0.7212475633528265
4,13588,IGHV1S1*01,IGHV1-18*04,0.7885196374622356,0.7077241715399609
5,13590,IGHV1S1*01,IGHV1-2*02,0.8103975535168195,0.689163306451613
6,13591,IGHV1S1*01,IGHV1-2*03,0.7993920972644377,0.7016129032258065
7,13592,IGHV1S1*01,IGHV1-2*04,0.8048780487804879,0.6646588198546116
8,13593,IGHV1S1*01,IGHV1-2*05,0.7993920972644377,0.7016129032258065
9,13594,IGHV1S1*01,IGHV1-2*06,0.8048780487804879,0.685483870967742
10,13596,IGHV1S1*01,IGHV1-24*01,0.9035369774919614,0.8811067419506624
11,13597,IGHV1S1*01,IGHV1-24*02,0.9006410256410257,0.8947368421052633
12,13598,IGHV1S1*01,IGHV1-3*01,0.7831325301204819,0.6385407964355333
13,13599,IGHV1S1*01,IGHV1-3*02,0.7777777777777778,0.7573099415204678
14,13600,IGHV1S1*01,IGHV1-3*03,0.7885196374622356,0.7573099415204678
15,13601,IGHV1S1*01,IGHV1-3*04,0.7801204819277109,0.7573099415204679
16,13602,IGHV1S1*01,IGHV1-3*05,0.7777777777777778,0.7332683560753736
17,13603,IGHV1S1*01,IGHV1-3*06,0.7831325301204819,0.7032163742690059
18,13605,IGHV1S1*01,IGHV1-45*02,0.7671641791044777,0.7378007107709129
19,13606,IGHV1S1*01,IGHV1-45*03,0.7619047619047619,0.8001030032023744
20,13607,IGHV1S1*01,IGHV1-46*01,0.8048780487804879,0.5989396917205743
21,13608,IGHV1S1*01,IGHV1-46*02,0.7993920972644377,0.5875391849529781
22,13609,IGHV1S1*01,IGHV1-46*03,0.7993920972644377,0.5875391849529781
23,13611,IGHV1S1*01,IGHV1-58*01,0.7463126843657817,0.49124167223538456
24,13612,IGHV1S1*01,IGHV1-58*02,0.7514792899408284,0.509264827977239
25,13614,IGHV1S1*01,IGHV1-67*01,0.7791044776119403,0.6308661325902705
26,13618,IGHV1S1*01,IGHV1-69*01,0.7885196374622356,0.6702839847439298
27,13619,IGHV1S1*01,IGHV1-69*02,0.7771084337349398,0.7672413793103449
28,13621,IGHV1S1*01,IGHV1-69*04,0.7885196374622356,0.7305585539482305
29,13622,IGHV1S1*01,IGHV1-69*05,0.7878787878787878,0.7672413793103449
30,13623,IGHV1S1*01,IGHV1-69*06,0.7885196374622356,0.7535731966914958
31,13627,IGHV1S1*01,IGHV1-69*10,0.7993920972644377,0.7672413793103449
32,13628,IGHV1S1*01,IGHV1-69*11,0.7885196374622356,0.7586206896551725
33,13629,IGHV1S1*01,IGHV1-69*12,0.7939393939393941,0.7658307210031348
34,13630,IGHV1S1*01,IGHV1-69*13,0.7993920972644377,0.7758620689655172
35,13631,IGHV1S1*01,IGHV1-69*14,0.7939393939393941,0.75
36,13632,IGHV1S1*01,IGHV1-69*15,0.7885196374622356,0.7672413793103449
37,13638,IGHV1S1*01,IGHV1-69*21,0.7939393939393941,0.7672413793103449
38,13639,IGHV1S1*01,IGHV1-69*22,0.7939393939393941,0.7672413793103449
39,13640,IGHV1S1*01,IGHV1-69*23,0.7831325301204819,0.6033258975956896
40,13642,IGHV1S1*01,IGHV1-69-2*01,0.8675078864353313,0.8670769666100735
41,13644,IGHV1S1*01,IGHV1-69-2*03,0.85,0.9035087719298246
42,13645,IGHV1S1*01,IGHV1-8*01,0.8103975535168195,0.6902796213550573
43,13646,IGHV1S1*01,IGHV1-8*02,0.8103975535168195,0.7109395179647368
44,13647,IGHV1S1*01,IGHV1-8*03,0.8048780487804879,0.7615987460815048
45,13671,IGHV1S1*01,IGHV2-10*01,0.5113924050632911,0.28248862897985705
46,13672,IGHV1S1*01,IGHV2-26*01,0.5229591836734694,0.21186647173489276
47,13673,IGHV1S1*01,IGHV2-26*02,0.5229591836734694,0.23440545808966862
48,13675,IGHV1S1*01,IGHV2-26*04,0.5229591836734694,0.23440545808966862
49,13676,IGHV1S1*01,IGHV2-5*01,0.5190839694656488,0.24041585445094216
50,13677,IGHV1S1*01,IGHV2-5*02,0.5190839694656488,0.23801169590643273
51,13680,IGHV1S1*01,IGHV2-5*05,0.5190839694656488,0.25243664717348924
52,13684,IGHV1S1*01,IGHV2-70*01,0.5347043701799485,0.2696444175573032
53,13687,IGHV1S1*01,IGHV2-70*04,0.5268542199488491,0.19834307992202727
54,13696,IGHV1S1*01,IGHV2-70*13,0.5307692307692308,0.2012670565302144
55,13697,IGHV1S1*01,IGHV2-70*14,0.5229591836734694,0.19834307992202727
56,13698,IGHV1S1*01,IGHV2-70*15,0.5347043701799485,0.21036387264457437
57,13705,IGHV1S1*01,IGHV3-11*01,0.6263736263736264,0.3601039636127355
58,13708,IGHV1S1*01,IGHV3-11*04,0.6219178082191781,0.45
59,13709,IGHV1S1*01,IGHV3-11*05,0.6174863387978142,0.45
60,13710,IGHV1S1*01,IGHV3-11*06,0.6130790190735694,0.4618589743589744
61,13711,IGHV1S1*01,IGHV3-13*01,0.6005434782608695,0.3742512020204227
62,13713,IGHV1S1*01,IGHV3-13*03,0.5994550408719346,0.4287081339712918
63,13714,IGHV1S1*01,IGHV3-13*04,0.6005434782608695,0.3875
64,13715,IGHV1S1*01,IGHV3-13*05,0.5962059620596206,0.3875
65,13716,IGHV1S1*01,IGHV3-15*01,0.582010582010582,0.38883955894909034
66,13717,IGHV1S1*01,IGHV3-15*02,0.582010582010582,0.4
67,13722,IGHV1S1*01,IGHV3-15*07,0.5778364116094987,0.42183098591549295
68,13724,IGHV1S1*01,IGHV3-15*09,0.5778364116094987,0.4018247429963279
69,13728,IGHV1S1*01,IGHV3-20*01,0.5956873315363881,0.44503592943018055
70,13729,IGHV1S1*01,IGHV3-20*02,0.5956873315363881,0.4178001277139208
71,13731,IGHV1S1*01,IGHV3-20*04,0.6,0.43667176941162705
72,13732,IGHV1S1*01,IGHV3-21*01,0.6263736263736264,0.3991547723549741
73,13733,IGHV1S1*01,IGHV3-21*02,0.6219178082191781,0.42872351714628376
74,13737,IGHV1S1*01,IGHV3-21*06,0.6263736263736264,0.3839382369043386
75,13738,IGHV1S1*01,IGHV3-22*01,0.6075268817204301,0.3961988304093567
76,13739,IGHV1S1*01,IGHV3-22*02,0.6118598382749326,0.3397725907233838
77,13740,IGHV1S1*01,IGHV3-23*01,0.6130790190735694,0.3849305880927351
78,13742,IGHV1S1*01,IGHV3-23*03,0.6086956521739131,0.29798447125784455
79,13743,IGHV1S1*01,IGHV3-23*04,0.6174863387978142,0.42611508527746333
80,13744,IGHV1S1*01,IGHV3-23*05,0.6076294277929155,0.3924050632911392
81,13745,IGHV1S1*01,IGHV3-23*06,0.6081081081081081,0.41567202206889897
82,13746,IGHV1S1*01,IGHV3-23*07,0.6136986301369863,0.3924050632911392
83,13753,IGHV1S1*01,IGHV3-30*01,0.6398891966759003,0.45105502897622696
84,13754,IGHV1S1*01,IGHV3-30*02,0.6353591160220995,0.4521848602988954
85,13755,IGHV1S1*01,IGHV3-30*03,0.6353591160220995,0.429531540810991
86,13756,IGHV1S1*01,IGHV3-30*04,0.6398891966759003,0.45012274107330136
87,13758,IGHV1S1*01,IGHV3-30*06,0.6444444444444445,0.4443473310561918
88,13770,IGHV1S1*01,IGHV3-30*18,0.6308539944903582,0.4292825003877168
89,13772,IGHV1S1*01,IGHV3-30*20,0.6398891966759003,0.4321366688325752
90,13776,IGHV1S1*01,IGHV3-30-3*01,0.6398891966759003,0.44962253416495657
91,13777,IGHV1S1*01,IGHV3-30-3*02,0.6398891966759003,0.4313004734057365
92,13781,IGHV1S1*01,IGHV3-33*01,0.6353591160220995,0.4261973056780585
93,13785,IGHV1S1*01,IGHV3-33*05,0.6353591160220995,0.4366732804232804
94,13786,IGHV1S1*01,IGHV3-33*06,0.6308539944903582,0.44784066648101734
95,13788,IGHV1S1*01,IGHV3-33*08,0.6308539944903582,0.4283620456866071
96,13789,IGHV1S1*01,IGHV3-33*09,0.6336088154269972,0.4388153939140781
97,13791,IGHV1S1*01,IGHV3-35*01,0.6043360433604336,0.43243243243243246
98,13798,IGHV1S1*01,IGHV3-38*02,0.6021798365122616,0.43824593128390593
99,13801,IGHV1S1*01,IGHV3-41*01,0.5876010781671159,0.3693957115009746
100,13808,IGHV1S1*01,IGHV3-43*01,0.5924932975871313,0.4438258992111303
101,13809,IGHV1S1*01,IGHV3-43*02,0.584,0.4652288732394366
102,13810,IGHV1S1*01,IGHV3-43D*03,0.5924932975871313,0.4604888289098816
103,13811,IGHV1S1*01,IGHV3-43D*04,0.5924932975871313,0.43135290705396906
104,13815,IGHV1S1*01,IGHV3-48*01,0.6219178082191781,0.4176769302776858
105,13816,IGHV1S1*01,IGHV3-48*02,0.6219178082191781,0.4184375749609794
106,13817,IGHV1S1*01,IGHV3-48*03,0.6263736263736264,0.42954136196404163
107,13818,IGHV1S1*01,IGHV3-48*04,0.6263736263736264,0.4157604093424243
108,13821,IGHV1S1*01,IGHV3-49*03,0.5946666666666667,0.43734359241915766
109,13822,IGHV1S1*01,IGHV3-49*04,0.5989304812834224,0.4381490860490266
110,13823,IGHV1S1*01,IGHV3-49*05,0.5946666666666667,0.43209876543209874
111,13825,IGHV1S1*01,IGHV3-52*01,0.6174863387978142,0.41727162734422263
112,13828,IGHV1S1*01,IGHV3-53*01,0.6092896174863388,0.4563348172531987
113,13829,IGHV1S1*01,IGHV3-53*02,0.6049046321525886,0.4714285714285714
114,13831,IGHV1S1*01,IGHV3-53*04,0.6136986301369863,0.4714285714285714
115,13833,IGHV1S1*01,IGHV3-53*06,0.6092896174863388,0.4714285714285714
116,13852,IGHV1S1*01,IGHV3-64*01,0.6130790190735694,0.3184787315696781
117,13853,IGHV1S1*01,IGHV3-64*02,0.6086956521739131,0.307041910331384
118,13857,IGHV1S1*01,IGHV3-64*07,0.6130790190735694,0.37266360345307714
119,13858,IGHV1S1*01,IGHV3-64D*06,0.6174863387978142,0.4531288740842114
120,13859,IGHV1S1*01,IGHV3-64D*08,0.6174863387978142,0.40497881355932197
121,13860,IGHV1S1*01,IGHV3-64D*09,0.6174863387978142,0.41911595950965985
122,13864,IGHV1S1*01,IGHV3-66*01,0.6181318681318682,0.42659743584753007
123,13865,IGHV1S1*01,IGHV3-66*02,0.6126373626373627,0.4577456298975286
124,13866,IGHV1S1*01,IGHV3-66*03,0.6092896174863388,0.4509041591320072
125,13867,IGHV1S1*01,IGHV3-66*04,0.6136986301369863,0.442163156676075
126,13868,IGHV1S1*01,IGHV3-69-1*01,0.6270718232044199,0.4105400257139917
127,13869,IGHV1S1*01,IGHV3-69-1*02,0.6225895316804407,0.42405063291139244
128,13870,IGHV1S1*01,IGHV3-7*01,0.5956873315363881,0.4568494840766486
129,13871,IGHV1S1*01,IGHV3-7*02,0.5945945945945946,0.4620253164556962
130,13872,IGHV1S1*01,IGHV3-7*03,0.6,0.42830723930034165
131,13873,IGHV1S1*01,IGHV3-7*04,0.5956873315363881,0.474025974025974
132,13874,IGHV1S1*01,IGHV3-7*05,0.6043360433604336,0.47178093091858914
133,13875,IGHV1S1*01,IGHV3-71*01,0.6162162162162163,0.43125
134,13879,IGHV1S1*01,IGHV3-72*01,0.5946666666666667,0.41237872034652
135,13881,IGHV1S1*01,IGHV3-72*03,0.5904255319148937,0.41890635152696554
136,13882,IGHV1S1*01,IGHV3-73*01,0.5946666666666667,0.41576487291947817
137,13883,IGHV1S1*01,IGHV3-73*02,0.5904255319148937,0.4426556209058172
138,13884,IGHV1S1*01,IGHV3-73*03,0.5946666666666667,0.4125
139,13885,IGHV1S1*01,IGHV3-74*01,0.6043360433604336,0.4425299903319746
140,13886,IGHV1S1*01,IGHV3-74*02,0.6076294277929155,0.4493736427308006
141,13887,IGHV1S1*01,IGHV3-74*03,0.6043360433604336,0.4364109693167529
142,13893,IGHV1S1*01,IGHV3-9*01,0.6054054054054054,0.4506174209220857
143,13894,IGHV1S1*01,IGHV3-9*02,0.6054054054054054,0.4576704966641957
144,13895,IGHV1S1*01,IGHV3-9*03,0.601078167115903,0.4375
145,13920,IGHV1S1*01,IGHV4-28*01,0.5661375661375662,0.3695175438596491
146,13921,IGHV1S1*01,IGHV4-28*02,0.5661375661375662,0.34897828863346103
147,13922,IGHV1S1*01,IGHV4-28*03,0.5702917771883289,0.3696393762183236
148,13924,IGHV1S1*01,IGHV4-28*05,0.5661375661375662,0.3786549707602339
149,13927,IGHV1S1*01,IGHV4-28*08,0.5620052770448549,0.34897828863346103
150,13928,IGHV1S1*01,IGHV4-30-2*01,0.5616797900262467,0.3446091281844457
151,13929,IGHV1S1*01,IGHV4-30-2*02,0.5567282321899736,0.34259259259259256
152,13930,IGHV1S1*01,IGHV4-30-2*03,0.5782493368700266,0.351364522417154
153,13933,IGHV1S1*01,IGHV4-30-2*06,0.5657894736842105,0.3457014182966996
154,13934,IGHV1S1*01,IGHV4-30-4*01,0.5657894736842105,0.2961744639376218
155,13938,IGHV1S1*01,IGHV4-30-4*05,0.5657894736842105,0.3601364522417154
156,13940,IGHV1S1*01,IGHV4-30-4*07,0.5657894736842105,0.3601364522417154
157,13941,IGHV1S1*01,IGHV4-30-4*08,0.5631578947368421,0.3784925276153346
158,13942,IGHV1S1*01,IGHV4-31*01,0.5657894736842105,0.351364522417154
159,13943,IGHV1S1*01,IGHV4-31*02,0.5699208443271768,0.34259259259259256
160,13944,IGHV1S1*01,IGHV4-31*03,0.5699208443271768,0.33608666689145356
161,13953,IGHV1S1*01,IGHV4-31*12,0.5699208443271768,0.34259259259259256
162,13954,IGHV1S1*01,IGHV4-31*13,0.5616797900262467,0.3601364522417154
163,13955,IGHV1S1*01,IGHV4-34*01,0.5582010582010583,0.3289198073040285
164,13956,IGHV1S1*01,IGHV4-34*02,0.5540897097625329,0.3102120442670092
165,13968,IGHV1S1*01,IGHV4-38-2*01,0.5817694369973191,0.3258045065582978
166,13969,IGHV1S1*01,IGHV4-38-2*02,0.5871313672922251,0.2960216900275379
167,13970,IGHV1S1*01,IGHV4-38-2*03,0.5871313672922251,0.3211005385403244
168,13971,IGHV1S1*01,IGHV4-39*01,0.5782493368700266,0.30127740483757276
169,13972,IGHV1S1*01,IGHV4-39*02,0.5824468085106383,0.3184243565599498
170,13977,IGHV1S1*01,IGHV4-39*07,0.5824468085106383,0.3255558859483927
171,13978,IGHV1S1*01,IGHV4-39*08,0.5677083333333334,0.27548262920326555
172,13979,IGHV1S1*01,IGHV4-4*01,0.5661375661375662,0.32456140350877194
173,13980,IGHV1S1*01,IGHV4-4*02,0.5702917771883289,0.3386990595611285
174,13981,IGHV1S1*01,IGHV4-4*03,0.5676392572944297,0.34660605856915594
175,13984,IGHV1S1*01,IGHV4-4*07,0.5748663101604278,0.3383261328754371
176,13985,IGHV1S1*01,IGHV4-4*08,0.579088471849866,0.35146198830409353
177,13987,IGHV1S1*01,IGHV4-55*01,0.5828877005347594,0.3536032843050387
178,13988,IGHV1S1*01,IGHV4-55*02,0.5786666666666667,0.32456140350877194
179,13996,IGHV1S1*01,IGHV4-59*01,0.579088471849866,0.3572140578719526
180,13997,IGHV1S1*01,IGHV4-59*02,0.579088471849866,0.37853313840155944
181,14000,IGHV1S1*01,IGHV4-59*05,0.5698924731182796,0.3184243565599498
182,14003,IGHV1S1*01,IGHV4-59*08,0.5706666666666667,0.33658219623131896
183,14004,IGHV1S1*01,IGHV4-59*09,0.5706666666666667,0.378411306042885
184,14006,IGHV1S1*01,IGHV4-59*11,0.579088471849866,0.34827810266406756
185,14007,IGHV1S1*01,IGHV4-59*12,0.5748663101604278,0.3305717998700455
186,14008,IGHV1S1*01,IGHV4-59*13,0.579088471849866,0.3605019493177388
