,index,geneO,geneH,vGeneIden,leaderIden
0,3398,IGHV1-12*01,IGHV1-17*01,0.6076294277929155,0.6140350877192983
1,3399,IGHV1-12*01,IGHV1-17*02,0.6136986301369863,0.543859649122807
2,3400,IGHV1-12*01,IGHV1-18*01,0.6573033707865169,0.6608187134502924
3,3402,IGHV1-12*01,IGHV1-18*03,0.6573033707865169,0.6754385964912281
4,3403,IGHV1-12*01,IGHV1-18*04,0.6619718309859155,0.6228070175438596
5,3405,IGHV1-12*01,IGHV1-2*02,0.6526610644257703,0.6491228070175438
6,3406,IGHV1-12*01,IGHV1-2*03,0.6573033707865169,0.6491228070175439
7,3407,IGHV1-12*01,IGHV1-2*04,0.6480446927374302,0.6403508771929824
8,3408,IGHV1-12*01,IGHV1-2*05,0.6526610644257703,0.6491228070175439
9,3409,IGHV1-12*01,IGHV1-2*06,0.6526610644257703,0.6447368421052632
10,3411,IGHV1-12*01,IGHV1-24*01,0.6619718309859155,0.6379585326953748
11,3412,IGHV1-12*01,IGHV1-24*02,0.6601123595505618,0.6491228070175439
12,3413,IGHV1-12*01,IGHV1-3*01,0.6388888888888888,0.6390977443609023
13,3414,IGHV1-12*01,IGHV1-3*02,0.6388888888888888,0.6666666666666666
14,3415,IGHV1-12*01,IGHV1-3*03,0.6298342541436464,0.6666666666666666
15,3416,IGHV1-12*01,IGHV1-3*04,0.6406685236768802,0.649122807017544
16,3417,IGHV1-12*01,IGHV1-3*05,0.6343490304709142,0.6491228070175439
17,3418,IGHV1-12*01,IGHV1-3*06,0.6298342541436464,0.6666666666666666
18,3420,IGHV1-12*01,IGHV1-45*02,0.6032608695652174,0.631578947368421
19,3421,IGHV1-12*01,IGHV1-45*03,0.6076294277929155,0.631578947368421
20,3422,IGHV1-12*01,IGHV1-46*01,0.6526610644257703,0.611111111111111
21,3423,IGHV1-12*01,IGHV1-46*02,0.6480446927374302,0.631578947368421
22,3424,IGHV1-12*01,IGHV1-46*03,0.6526610644257703,0.631578947368421
23,3426,IGHV1-12*01,IGHV1-58*01,0.6076294277929155,0.631578947368421
24,3427,IGHV1-12*01,IGHV1-58*02,0.6120218579234973,0.6257309941520468
25,3429,IGHV1-12*01,IGHV1-67*01,0.6229508196721312,0.6166666666666667
26,3433,IGHV1-12*01,IGHV1-69*01,0.6253443526170799,0.6754385964912281
27,3434,IGHV1-12*01,IGHV1-69*02,0.637883008356546,0.6842105263157895
28,3436,IGHV1-12*01,IGHV1-69*04,0.6388888888888888,0.656140350877193
29,3437,IGHV1-12*01,IGHV1-69*05,0.6243093922651933,0.6842105263157895
30,3438,IGHV1-12*01,IGHV1-69*06,0.6298342541436464,0.6666666666666667
31,3442,IGHV1-12*01,IGHV1-69*10,0.6434540389972145,0.6842105263157895
32,3443,IGHV1-12*01,IGHV1-69*11,0.6298342541436464,0.6842105263157895
33,3444,IGHV1-12*01,IGHV1-69*12,0.6253443526170799,0.6842105263157895
34,3445,IGHV1-12*01,IGHV1-69*13,0.6298342541436464,0.6842105263157895
35,3446,IGHV1-12*01,IGHV1-69*14,0.6298342541436464,0.6842105263157895
36,3447,IGHV1-12*01,IGHV1-69*15,0.6253443526170799,0.6842105263157895
37,3453,IGHV1-12*01,IGHV1-69*21,0.6343490304709142,0.6842105263157895
38,3454,IGHV1-12*01,IGHV1-69*22,0.6253443526170799,0.6842105263157895
39,3455,IGHV1-12*01,IGHV1-69*23,0.6388888888888888,0.6842105263157895
40,3457,IGHV1-12*01,IGHV1-69-2*01,0.6434540389972145,0.631578947368421
41,3459,IGHV1-12*01,IGHV1-69-2*03,0.6388888888888888,0.6228070175438596
