,index,geneO,geneH,vGeneIden,leaderIden
0,13583,IGHV1S1*01,IGHV1-17*01,0.7259475218658892,0.8245614035087719
1,13584,IGHV1S1*01,IGHV1-17*02,0.7331378299120235,0.7412280701754386
2,13585,IGHV1S1*01,IGHV1-18*01,0.7939393939393941,0.8801169590643273
3,13587,IGHV1S1*01,IGHV1-18*03,0.7885196374622356,0.8859649122807017
4,13588,IGHV1S1*01,IGHV1-18*04,0.7885196374622356,0.8640350877192983
5,13590,IGHV1S1*01,IGHV1-2*02,0.8103975535168195,0.9152046783625729
6,13591,IGHV1S1*01,IGHV1-2*03,0.7993920972644377,0.9298245614035088
7,13592,IGHV1S1*01,IGHV1-2*04,0.8048780487804879,0.9210526315789473
8,13593,IGHV1S1*01,IGHV1-2*05,0.7993920972644377,0.9298245614035088
9,13594,IGHV1S1*01,IGHV1-2*06,0.8048780487804879,0.9210526315789473
10,13596,IGHV1S1*01,IGHV1-24*01,0.9035369774919614,0.8979266347687402
11,13597,IGHV1S1*01,IGHV1-24*02,0.9006410256410257,0.9122807017543859
12,13598,IGHV1S1*01,IGHV1-3*01,0.7831325301204819,0.8909774436090226
13,13599,IGHV1S1*01,IGHV1-3*02,0.7777777777777778,0.8947368421052632
14,13600,IGHV1S1*01,IGHV1-3*03,0.7885196374622356,0.8947368421052632
15,13601,IGHV1S1*01,IGHV1-3*04,0.7801204819277109,0.8903508771929826
16,13602,IGHV1S1*01,IGHV1-3*05,0.7777777777777778,0.9122807017543859
17,13603,IGHV1S1*01,IGHV1-3*06,0.7831325301204819,0.8947368421052632
18,13605,IGHV1S1*01,IGHV1-45*02,0.7671641791044777,0.8771929824561403
19,13606,IGHV1S1*01,IGHV1-45*03,0.7619047619047619,0.8771929824561403
20,13607,IGHV1S1*01,IGHV1-46*01,0.8048780487804879,0.7953216374269005
21,13608,IGHV1S1*01,IGHV1-46*02,0.7993920972644377,0.8157894736842105
22,13609,IGHV1S1*01,IGHV1-46*03,0.7993920972644377,0.8157894736842105
23,13611,IGHV1S1*01,IGHV1-58*01,0.7463126843657817,0.8684210526315788
24,13612,IGHV1S1*01,IGHV1-58*02,0.7514792899408284,0.8684210526315788
25,13614,IGHV1S1*01,IGHV1-67*01,0.7791044776119403,0.7894736842105263
26,13618,IGHV1S1*01,IGHV1-69*01,0.7885196374622356,0.8508771929824561
27,13619,IGHV1S1*01,IGHV1-69*02,0.7771084337349398,0.868421052631579
28,13621,IGHV1S1*01,IGHV1-69*04,0.7885196374622356,0.8473684210526315
29,13622,IGHV1S1*01,IGHV1-69*05,0.7878787878787878,0.868421052631579
30,13623,IGHV1S1*01,IGHV1-69*06,0.7885196374622356,0.8596491228070176
31,13627,IGHV1S1*01,IGHV1-69*10,0.7993920972644377,0.868421052631579
32,13628,IGHV1S1*01,IGHV1-69*11,0.7885196374622356,0.868421052631579
33,13629,IGHV1S1*01,IGHV1-69*12,0.7939393939393941,0.868421052631579
34,13630,IGHV1S1*01,IGHV1-69*13,0.7993920972644377,0.868421052631579
35,13631,IGHV1S1*01,IGHV1-69*14,0.7939393939393941,0.868421052631579
36,13632,IGHV1S1*01,IGHV1-69*15,0.7885196374622356,0.868421052631579
37,13638,IGHV1S1*01,IGHV1-69*21,0.7939393939393941,0.868421052631579
38,13639,IGHV1S1*01,IGHV1-69*22,0.7939393939393941,0.868421052631579
39,13640,IGHV1S1*01,IGHV1-69*23,0.7831325301204819,0.868421052631579
40,13642,IGHV1S1*01,IGHV1-69-2*01,0.8675078864353313,0.9298245614035088
41,13644,IGHV1S1*01,IGHV1-69-2*03,0.85,0.9298245614035087
42,13645,IGHV1S1*01,IGHV1-8*01,0.8103975535168195,0.9122807017543858
43,13646,IGHV1S1*01,IGHV1-8*02,0.8103975535168195,0.9298245614035088
44,13647,IGHV1S1*01,IGHV1-8*03,0.8048780487804879,0.9298245614035088
