,index,geneO,geneH,vGeneIden,utrIden
0,3398,IGHV1-12*01,IGHV1-17*01,0.6076294277929155,0.2887968353485595
1,3399,IGHV1-12*01,IGHV1-17*02,0.6136986301369863,0.32374048365427677
2,3400,IGHV1-12*01,IGHV1-18*01,0.6573033707865169,0.3343253968253968
3,3402,IGHV1-12*01,IGHV1-18*03,0.6573033707865169,0.3148148148148148
4,3403,IGHV1-12*01,IGHV1-18*04,0.6619718309859155,0.3194444444444445
5,3405,IGHV1-12*01,IGHV1-2*02,0.6526610644257703,0.3648191517043976
6,3406,IGHV1-12*01,IGHV1-2*03,0.6573033707865169,0.3770491803278688
7,3407,IGHV1-12*01,IGHV1-2*04,0.6480446927374302,0.36166189608812555
8,3408,IGHV1-12*01,IGHV1-2*05,0.6526610644257703,0.3770491803278688
9,3409,IGHV1-12*01,IGHV1-2*06,0.6526610644257703,0.3770491803278688
10,3411,IGHV1-12*01,IGHV1-24*01,0.6619718309859155,0.3770455833069263
11,3412,IGHV1-12*01,IGHV1-24*02,0.6601123595505618,0.38596491228070173
12,3413,IGHV1-12*01,IGHV1-3*01,0.6388888888888888,0.4042984264412836
13,3414,IGHV1-12*01,IGHV1-3*02,0.6388888888888888,0.45588235294117646
14,3415,IGHV1-12*01,IGHV1-3*03,0.6298342541436464,0.45588235294117646
15,3416,IGHV1-12*01,IGHV1-3*04,0.6406685236768802,0.417260843731432
16,3417,IGHV1-12*01,IGHV1-3*05,0.6343490304709142,0.4423648247177659
17,3418,IGHV1-12*01,IGHV1-3*06,0.6298342541436464,0.5
18,3420,IGHV1-12*01,IGHV1-45*02,0.6032608695652174,0.34466607445691677
19,3421,IGHV1-12*01,IGHV1-45*03,0.6076294277929155,0.3202682563338301
20,3422,IGHV1-12*01,IGHV1-46*01,0.6526610644257703,0.41038179355466164
21,3423,IGHV1-12*01,IGHV1-46*02,0.6480446927374302,0.4482758620689655
22,3424,IGHV1-12*01,IGHV1-46*03,0.6526610644257703,0.4482758620689655
23,3426,IGHV1-12*01,IGHV1-58*01,0.6076294277929155,0.42824865895133835
24,3427,IGHV1-12*01,IGHV1-58*02,0.6120218579234973,0.40682945093346456
25,3429,IGHV1-12*01,IGHV1-67*01,0.6229508196721312,0.46304985337243404
26,3433,IGHV1-12*01,IGHV1-69*01,0.6253443526170799,0.3834391091882628
27,3434,IGHV1-12*01,IGHV1-69*02,0.637883008356546,0.39655172413793105
28,3436,IGHV1-12*01,IGHV1-69*04,0.6388888888888888,0.4148313928023824
29,3437,IGHV1-12*01,IGHV1-69*05,0.6243093922651933,0.39655172413793105
30,3438,IGHV1-12*01,IGHV1-69*06,0.6298342541436464,0.3995681179490619
31,3442,IGHV1-12*01,IGHV1-69*10,0.6434540389972145,0.39655172413793105
32,3443,IGHV1-12*01,IGHV1-69*11,0.6298342541436464,0.4051724137931034
33,3444,IGHV1-12*01,IGHV1-69*12,0.6253443526170799,0.40603448275862064
34,3445,IGHV1-12*01,IGHV1-69*13,0.6298342541436464,0.4051724137931034
35,3446,IGHV1-12*01,IGHV1-69*14,0.6298342541436464,0.43103448275862066
36,3447,IGHV1-12*01,IGHV1-69*15,0.6253443526170799,0.39655172413793105
37,3453,IGHV1-12*01,IGHV1-69*21,0.6343490304709142,0.39655172413793105
38,3454,IGHV1-12*01,IGHV1-69*22,0.6253443526170799,0.41379310344827586
39,3455,IGHV1-12*01,IGHV1-69*23,0.6388888888888888,0.3993348362138543
40,3457,IGHV1-12*01,IGHV1-69-2*01,0.6434540389972145,0.35391907187323146
41,3459,IGHV1-12*01,IGHV1-69-2*03,0.6388888888888888,0.3742690058479532
42,3460,IGHV1-12*01,IGHV1-8*01,0.6573033707865169,0.38912730932314693
43,3461,IGHV1-12*01,IGHV1-8*02,0.6526610644257703,0.39429295342959775
44,3462,IGHV1-12*01,IGHV1-8*03,0.6480446927374302,0.41818181818181815
45,3486,IGHV1-12*01,IGHV2-10*01,0.5178571428571429,0.4117405582922824
46,3487,IGHV1-12*01,IGHV2-26*01,0.5256410256410257,0.3928571428571429
47,3488,IGHV1-12*01,IGHV2-26*02,0.5217391304347826,0.4642857142857143
48,3490,IGHV1-12*01,IGHV2-26*04,0.5217391304347826,0.4642857142857143
49,3491,IGHV1-12*01,IGHV2-5*01,0.5217391304347826,0.4404761904761905
50,3492,IGHV1-12*01,IGHV2-5*02,0.5178571428571429,0.43571428571428567
51,3495,IGHV1-12*01,IGHV2-5*05,0.5139949109414759,0.39285714285714285
52,3499,IGHV1-12*01,IGHV2-70*01,0.5178571428571429,0.39360119047619047
53,3502,IGHV1-12*01,IGHV2-70*04,0.5256410256410257,0.4642857142857143
54,3511,IGHV1-12*01,IGHV2-70*13,0.5178571428571429,0.46428571428571425
55,3512,IGHV1-12*01,IGHV2-70*14,0.5295629820051414,0.4642857142857143
56,3513,IGHV1-12*01,IGHV2-70*15,0.5178571428571429,0.35714285714285715
57,3520,IGHV1-12*01,IGHV3-11*01,0.5485564304461942,0.32261904761904764
58,3523,IGHV1-12*01,IGHV3-11*04,0.5485564304461942,0.2875
59,3524,IGHV1-12*01,IGHV3-11*05,0.5485564304461942,0.2875
60,3525,IGHV1-12*01,IGHV3-11*06,0.5485564304461942,0.29068142831347055
