,index,geneO,geneH,vGeneIden,leaderIden
0,10188,IGHV3-13*01,IGHV1-17*01,0.5452196382428941,0.532258064516129
1,10189,IGHV3-13*01,IGHV1-17*02,0.5466321243523317,0.49888765294771964
2,10190,IGHV3-13*01,IGHV1-18*01,0.5946666666666667,0.5497076023391813
3,10192,IGHV3-13*01,IGHV1-18*03,0.5904255319148937,0.5526315789473684
4,10193,IGHV3-13*01,IGHV1-18*04,0.5946666666666667,0.5482456140350878
5,10195,IGHV3-13*01,IGHV1-2*02,0.5946666666666667,0.4823074635741897
6,10196,IGHV3-13*01,IGHV1-2*03,0.5904255319148937,0.47368421052631576
7,10197,IGHV3-13*01,IGHV1-2*04,0.5904255319148937,0.4649122807017544
8,10198,IGHV3-13*01,IGHV1-2*05,0.5862068965517241,0.47368421052631576
9,10199,IGHV3-13*01,IGHV1-2*06,0.5904255319148937,0.46491228070175433
10,10201,IGHV3-13*01,IGHV1-24*01,0.5946666666666667,0.41307814992025516
11,10202,IGHV3-13*01,IGHV1-24*02,0.5930851063829787,0.42105263157894735
12,10203,IGHV3-13*01,IGHV1-3*01,0.5736842105263158,0.48358183594579673
13,10204,IGHV3-13*01,IGHV1-3*02,0.582010582010582,0.49122807017543857
14,10205,IGHV3-13*01,IGHV1-3*03,0.582010582010582,0.49122807017543857
15,10206,IGHV3-13*01,IGHV1-3*04,0.5669291338582677,0.4766081871345029
16,10207,IGHV3-13*01,IGHV1-3*05,0.5695538057742782,0.47368421052631576
17,10208,IGHV3-13*01,IGHV1-3*06,0.5778364116094987,0.49122807017543857
18,10210,IGHV3-13*01,IGHV1-45*02,0.5736842105263158,0.45614035087719296
19,10211,IGHV3-13*01,IGHV1-45*03,0.5736842105263158,0.45614035087719296
20,10212,IGHV3-13*01,IGHV1-46*01,0.5989304812834224,0.5512452107279694
21,10213,IGHV3-13*01,IGHV1-46*02,0.5989304812834224,0.5517241379310345
22,10214,IGHV3-13*01,IGHV1-46*03,0.5989304812834224,0.5517241379310345
23,10216,IGHV3-13*01,IGHV1-58*01,0.5989304812834224,0.4678362573099415
24,10217,IGHV3-13*01,IGHV1-58*02,0.5989304812834224,0.4678362573099415
25,10219,IGHV3-13*01,IGHV1-67*01,0.5759162303664922,0.5166666666666667
26,10223,IGHV3-13*01,IGHV1-69*01,0.5904255319148937,0.5208855472013367
27,10224,IGHV3-13*01,IGHV1-69*02,0.5767195767195767,0.5263157894736842
28,10226,IGHV3-13*01,IGHV1-69*04,0.582010582010582,0.5278886872353297
29,10227,IGHV3-13*01,IGHV1-69*05,0.5893333333333334,0.5263157894736842
30,10228,IGHV3-13*01,IGHV1-69*06,0.5862068965517241,0.5263157894736842
31,10232,IGHV3-13*01,IGHV1-69*10,0.582010582010582,0.5263157894736842
32,10233,IGHV3-13*01,IGHV1-69*11,0.5904255319148937,0.5263157894736842
33,10234,IGHV3-13*01,IGHV1-69*12,0.5862068965517241,0.5263157894736842
34,10235,IGHV3-13*01,IGHV1-69*13,0.5862068965517241,0.5263157894736842
35,10236,IGHV3-13*01,IGHV1-69*14,0.582010582010582,0.5263157894736842
36,10237,IGHV3-13*01,IGHV1-69*15,0.5904255319148937,0.5263157894736842
37,10243,IGHV3-13*01,IGHV1-69*21,0.5862068965517241,0.5263157894736842
38,10244,IGHV3-13*01,IGHV1-69*22,0.5904255319148937,0.5263157894736842
39,10245,IGHV3-13*01,IGHV1-69*23,0.5778364116094987,0.5263157894736842
40,10247,IGHV3-13*01,IGHV1-69-2*01,0.5989304812834224,0.40350877192982454
41,10249,IGHV3-13*01,IGHV1-69-2*03,0.6032171581769437,0.42105263157894735
42,10250,IGHV3-13*01,IGHV1-8*01,0.5989304812834224,0.5028231498285946
43,10251,IGHV3-13*01,IGHV1-8*02,0.5989304812834224,0.5172413793103449
44,10252,IGHV3-13*01,IGHV1-8*03,0.5989304812834224,0.5172413793103449
45,10276,IGHV3-13*01,IGHV2-10*01,0.5304568527918782,0.43859649122807015
46,10277,IGHV3-13*01,IGHV2-26*01,0.5461538461538461,0.4444444444444444
47,10278,IGHV3-13*01,IGHV2-26*02,0.5461538461538461,0.45238095238095233
48,10280,IGHV3-13*01,IGHV2-26*04,0.5421994884910486,0.4603174603174603
49,10281,IGHV3-13*01,IGHV2-5*01,0.5621761658031088,0.45921470121628766
50,10282,IGHV3-13*01,IGHV2-5*02,0.5581395348837209,0.4674775251189847
51,10285,IGHV3-13*01,IGHV2-5*05,0.5581395348837209,0.46774193548387094
52,10289,IGHV3-13*01,IGHV2-70*01,0.5621761658031088,0.35526315789473684
53,10292,IGHV3-13*01,IGHV2-70*04,0.5581395348837209,0.3508771929824561
54,10301,IGHV3-13*01,IGHV2-70*13,0.5581395348837209,0.4175055124149171
55,10302,IGHV3-13*01,IGHV2-70*14,0.5541237113402062,0.3508771929824561
56,10303,IGHV3-13*01,IGHV2-70*15,0.5621761658031088,0.3508771929824561
57,10310,IGHV3-13*01,IGHV3-11*01,0.7485380116959064,0.9239766081871345
